word	count
割れる	3
垂れてくる	1
くれよる	4
繰り返してる	1
怒ってはる	1
喜んでもらえる	2
言いはる	5
話しはる	1
聞きよる	3
まわる	4
建て替える	1
小ちゃすぎる	1
かわっとる	1
知っとる	26
載っとる	1
いうて来る	1
聞いてくれる	4
着せてくれる	2
決めとる	2
込み合っとる	1
働きよる	3
与えてくれる	1
いきよる	8
もっとる	2
のっとる	5
よっとる	4
おぼえとる	1
祀っとる	1
出来とる	8
産まれとる	2
逃げる	11
いうてある	3
細る	1
恥じる	1
いうてよる	1
いってみる	1
はじめる	1
休みできる	1
壊れる	4
せたる	1
従ってやる	2
さぼる	3
貯める	7
稼いでる	3
尽きてる	2
産まれる	2
照れる	1
気づいてる	1
推しとる	1
輝いてる	1
もれる	1
染まってる	1
貯まってる	1
挙げる	5
光る	3
頼る	2
たげてる	1
散らしてる	1
見えてる	6
詰まってある	1
襲われてる	1
張ってる	1
つまる	1
浮いてくる	2
あきらめる	1
眺める	1
引きずってる	1
集まっとる	1
からくる	1
入りよる	1
なれてる	4
望んでる	1
はいっとる	1
減らしとる	1
こえとる	1
つっとる	1
配っとる	1
儲けてる	1
変わっとる	9
儲ける	6
出しとる	5
掛けてる	1
儲けとる	1
雇ってる	2
儲けなる	1
言うよる	1
作っとる	5
打てる	2
配る	3
並べる	4
倒せる	1
投げつける	2
整ってる	4
助けてやる	1
分かってくる	5
閉まってる	3
生じてくる	1
ふざけてる	1
飼うてる	4
迎えてくれる	1
傾いてる	1
揉めてる	1
飲める	8
流してる	4
すれてる	1
与えてる	1
持っている	2
吠えてる	1
わろてる	2
やれてる	2
聞いてもらえる	1
繋がっている	1
考えてある	1
動き出してる	1
やり始める	1
見つけてくる	1
出せてる	1
思ってやる	1
売り込んでる	1
歌てる	1
立て直してる	1
攻める	3
渡せる	1
塗る	3
ぽちゃってくる	1
割れてる	3
貰ってる	4
謝る	4
擂る	1
すってる	1
狙ってる	4
足りる	1
閉める	1
足してくれる	1
さらけだしてる	2
炒めてる	1
ためてる	1
染める	2
しまくる	2
出してくれる	3
覚えてくれる	1
乗り過ごしてる	1
泳げる	4
曲がってる	2
掛ける	6
言い始める	1
出してもらえる	2
出しはる	1
着てくる	1
話してはる	1
もらってやる	1
受かってる	3
走り回る	6
言うてはる	5
出してはる	1
余ってる	2
つるんでる	2
絡んでる	2
おりはる	2
溢れてる	1
なりはる	1
泊めてくれる	2
泳いてる	1
追いつける	1
使ってくれる	3
渦巻いてる	1
はめる	1
つぶれる	3
こもってる	1
いただける	1
折れてる	2
突き抜けてる	1
めくれてる	1
稼いてる	2
凝ってる	2
埋もれる	1
上がれる	5
もみ消してくれる	1
言うてあげる	2
届いてる	1
おちょくってる	1
煮る	1
つついてくる	1
あわせる	1
話し合ってる	1
取り合ってる	1
こらえる	1
ふざけている	1
奢ってくれる	1
払いのける	1
払える	3
嫌がる	4
嫌がってる	1
張り合える	1
描ける	2
たける	1
荒れてる	5
溢れる	2
食べれてる	1
向けてる	1
戻って来る	3
踏んでる	2
踏んてる	1
育ってくれる	2
巻いてやる	1
いじめてる	1
んてなる	1
まわせる	1
求めている	1
思い出してる	1
移る	12
怒ってくる	6
浸る	1
移ってる	1
飲んではる	1
くれてはる	4
座ってやる	1
考えてやる	3
震える	6
書けている	1
吹いてる	1
落ちてくる	4
載してる	1
混ぜてる	3
やったげる	1
移せる	1
作っていける	1
乱れてくる	1
割る	4
気遣っとる	1
挙がってくる	1
まとまってる	2
役に立ってる	2
入ってみる	1
下回ってる	1
生きてくる	1
てんぱる	1
腐る	2
回せる	2
おいてやる	1
偏ってる	1
結び付いてる	1
遅らせている	1
積もる	1
かまえる	1
終われる	2
みたる	1
頑張ってくれる	1
飲んとる	1
探してくる	2
雇える	1
来てもらえる	1
送ってもらえる	1
動いとる	3
立っとる	1
ついてくれる	1
勤めてはる	1
すべる	3
関する	5
起こしてくれる	1
動きよる	1
作ってある	2
溜まってくる	1
いってくる	1
話できる	1
務める	2
勤めとる	2
許してくれる	1
雇ってくれる	6
言とる	1
できとる	7
頑張っとる	3
はまっとる	5
整っとる	1
メモる	1
はじまる	1
学べる	5
くくる	4
手伝いよる	1
勤めよる	1
話してみる	1
もらいよる	2
こしらえる	3
こしらえてくれる	1
サボる	1
それる	1
喜んでる	4
ぶつける	2
在り得る	1
牛耳ってる	1
閉まる	3
ひねくれてる	1
起こっとる	1
壊れてくる	1
混じってる	6
言っとる	11
流しよる	1
きやがる	1
見てもらえる	1
しなってくる	1
いく+よる	1
つくってある	1
散っとる	1
減ってくる	4
とれとる	1
解ってくる	1
変えれる	1
でてる	2
慣れてくる	3
たたける	1
さしてくる	1
防げる	1
乱れてる	2
発する	1
始まってる	3
おさえる	1
立ち上がってくる	1
置ける	3
終わってくる	1
させてくれる	3
見守る	1
萌える	3
ラリってる	2
尽きてくる	1
びびってる	1
喋り続ける	1
つけてくれる	1
もげる	1
びびる	3
襲われる	1
置いてくる	1
目指しとる	1
ひねくれとる	1
目差しとる	1
取り寄せとる	2
といてある	1
感じとる	1
かけとる	2
探しとる	1
吹っかけてくれる	1
