word phrase	count
れてる ん/名詞	11
だせる とこ/名詞	1
追いかける みたい/名詞	2
分かってる から/助詞	5
ある らしい/助動詞	27
寝てる とか/助詞	2
来る みたい/名詞	1
売ってる ね/名詞	2
あげる わ/助詞	3
きてあげる わ/助詞	1
売れる よ/助詞	1
売れる かも/助詞	1
住んでる かも/助詞	1
れる 感じ/名詞	2
とんでる から/助詞	1
来る わ/助詞	3
帰る とか/助詞	5
帰る わ/助詞	11
引いてる 感じ/名詞	1
おる みたい/名詞	4
する まで/助詞	35
見せる やん/助動詞	1
酔ってる とき/名詞	1
破る かも/助詞	1
持ってる って/助詞	3
行ってる ./記号	38
喋れる ねん/名詞	1
喋れる って/助詞	2
もらってくる わ/助詞	1
取る もん/助詞	1
運んでくれる 人/名詞	1
組んでくる みたい/名詞	1
絡める あれ/名詞	1
言ってくる 人/名詞	2
おる やっ/助動詞	1
してる 子/名詞	15
してる 時/名詞	19
おる 子/名詞	5
分かる って/助詞	4
吸ってる わ/助詞	1
入れる ぜ/助詞	1
やる って/助詞	21
なる 子/名詞	2
れる 子/名詞	2
やめる みたい/名詞	2
れる ぐらい/助詞	3
しゃべる とか/助詞	2
思ってる の/助詞	3
知ってる よ/助詞	8
代わる みたい/名詞	1
弾ける し/助詞	1
がんばる ぞ/助詞	1
くれてる みたい/名詞	2
付き合ってる あの/連体詞	1
れる よ/助詞	12
来てくれる みたい/名詞	2
頑張ってる 姿/名詞	1
かれてる の/助詞	1
禿げてる ねん/助詞	1
言える の/助詞	3
送ってくる な/助詞	1
する 直前/名詞	2
禿げてる から/助詞	1
なってる で/助詞	1
かぶる ./記号	2
する 時/名詞	44
持ってる し/助詞	3
としてる ん/名詞	3
帰る ん/名詞	10
働いてる ねん/助詞	1
行ってる ん/名詞	12
帰ってくる こと/名詞	2
帰る みたい/名詞	5
寝る で/助詞	2
寝る わ/助詞	1
してくる ねん/名詞	1
いじめる とか/助詞	1
いじめる ってか/接続詞	1
いじめる ん/名詞	1
みる の/名詞	2
喋る やつ/名詞	2
観てる ./記号	1
観る って/助詞	1
持ってる 子/名詞	3
出る 感じ/名詞	1
走る の/名詞	13
持ってる 兄/名詞	1
させてる から/助詞	1
入る やん/助動詞	7
習ってる わけ/名詞	1
分かる ねん/助詞	3
喋ってる の/名詞	3
れる って/助詞	19
ある 叔母/名詞	1
する シーン/名詞	3
反する みたい/名詞	1
なる に/助詞	6
帰る の/助詞	5
交じる やん/助動詞	1
きてくれる よう/名詞	1
覚えてる もん/名詞	1
喋れる ねん/助詞	3
話せる か/助詞	1
帰る とき/名詞	10
帰ってくる ./記号	8
返ってくる やん/助動詞	2
遅れる と/助詞	2
来る から/助詞	22
走る 必要/名詞	1
来る と/助詞	9
よくなる って/助詞	1
信じてる けど/助詞	1
仕組んでる って/助詞	1
乗り越える もの/名詞	1
なくなって来る はず/名詞	1
のめりこんでる とか/助詞	1
できてる ねん/助詞	2
してる もの/名詞	2
してる な/助動詞	1
ゆうてある ねん/助詞	1
関わってくる と/助詞	1
いえる けど/助詞	1
来てる 以上/名詞	1
ある やろ/助動詞	135
来とる 意味/名詞	1
する だけ/助詞	17
行ける けど/助詞	9
続けてる 感じ/名詞	1
しとる ねん/助詞	22
できる ねん/助詞	29
いる と/助詞	10
伝わってくる から/助詞	1
ゆってくれる やん/助動詞	1
分かる から/助詞	5
出る みたい/名詞	3
きれる ./記号	1
捨ててる よう/名詞	1
聞いてる はず/名詞	1
れる やろ/助動詞	13
活かせる とこ/名詞	1
出る やん/助動詞	9
活かせる し/助詞	1
やってる って/助詞	8
もらっとる 親/名詞	1
ある って/助詞	44
引っ張る って/助詞	1
やる 時/名詞	9
乗せる とき/名詞	1
しとる けど/助詞	10
回ってる ねん/名詞	1
走り回ってる ねん/助詞	1
押してる けど/助詞	1
止まってる か/助詞	1
着てる さあ/感動詞	1
外しとる ねん/助詞	1
やる ん/名詞	30
叫んてる ねん/名詞	1
れてる から/助詞	20
引っ張る ほう/名詞	1
起こってる か/助詞	2
見とる 人/名詞	1
話しとる ねん/名詞	1
くれとる で/助詞	1
とる し/助詞	8
られとる ねん/名詞	1
れる から/助詞	55
おれる とか/助詞	1
踏んづけてくる わけ/名詞	1
上がってる ねん/名詞	1
あがる ねん/助詞	2
入れる ん/名詞	9
出来る かも/助詞	2
ただれとる ねん/名詞	1
引っ張り上げる やん/助動詞	1
れる やん/助動詞	19
泣いてる やん/助動詞	1
キレる ね/名詞	1
詰める の/名詞	1
膨らんでる とこ/名詞	1
待ってる 中/名詞	1
行き始める やん/助動詞	1
開けてる はず/名詞	1
泣いてる らしい/助動詞	1
とまる らしい/助動詞	1
付いてる やん/助動詞	2
捨てる とき/名詞	1
してる じゃ/助動詞	2
見える から/助詞	10
見える でしょ/助動詞	2
してる ねん/名詞	7
酔いつぶれる と/助詞	1
終わってる ./記号	3
きてくれる こと/名詞	1
話してくれる 沙織/名詞	1
思える とき/名詞	1
来る ん/名詞	19
気張ってる から/助詞	1
来る こと/名詞	3
れてる やん/助動詞	5
する とこ/名詞	24
入る まで/助詞	7
ある 幼稚園/名詞	1
ある 甲東/名詞	1
残ってる って/助詞	3
作る ため/名詞	4
残ってる わ/助詞	1
見回る Security/英語	1
ビビる よう/名詞	1
ある Marist/英語	1
流行ってる 言葉/名詞	1
喋ってる のに/助詞	4
言ってる か/助詞	3
いけてる の/助詞	1
知る こと/名詞	3
してくれる 友達/名詞	1
持ってくれる 人達/名詞	1
持ってくれる ねん/名詞	1
走ってる 車/名詞	2
してくる の/名詞	1
乗ってる 車/名詞	2
経ってる もの/名詞	1
れる みたい/名詞	9
いけてる 車/名詞	1
いけてる な/助詞	1
対する 愛国心/名詞	1
来る 前/名詞	3
ある 大学/名詞	2
かかる けど/助詞	7
終わる みたい/名詞	1
なる 直前/名詞	1
出来る から/助詞	4
している ./記号	2
なる よー/助詞	2
ある 人/名詞	27
やる し/助詞	6
せてくれる し/助詞	1
さしてくれる から/助詞	1
いてる 男の子/名詞	1
割り切れてる 人数/名詞	1
やる よう/名詞	7
してる って/助詞	24
作る ん/名詞	17
おる と/助詞	13
わかる ぐらい/助詞	1
行ってる 時/名詞	6
走ってる 時/名詞	2
思える ぐらい/助詞	1
見てくる って/助詞	1
使ってる 状態/名詞	1
られてる 服/名詞	1
する 商品/名詞	1
られてる 感/名詞	1
出てくる って/助詞	2
れてる 感/名詞	2
感じる 人/名詞	1
すぎる って/助詞	2
なさすぎる ./記号	1
通ってる 時/名詞	1
なる けど/助詞	54
食べる 人/名詞	2
出てくる やつ/名詞	1
作る の/名詞	21
見てる とか/助詞	1
見れる みたい/名詞	2
走る 車/名詞	2
買える って/助詞	3
乗る って/助詞	3
買える ./記号	2
走る し/助詞	4
ある とこ/名詞	30
聞いてる し/助詞	4
行ってる けど/助詞	16
走る よ/助詞	1
拠る けど/助詞	1
しとる ./記号	26
「とる ./記号	5
してくる 人/名詞	1
してる 人/名詞	41
やってる て/助詞	1
取ってる ねん/助詞	1
教えてる よう/名詞	1
行ってる 子/名詞	7
読める よう/名詞	3
流行ってる 曲/名詞	2
流行ってる 歌謡曲/名詞	1
覚えてる のん/名詞	1
来る の/名詞	6
できる お/接頭詞	1
できる おにいちゃん/名詞	1
喋る けど/助詞	6
いる とき/名詞	9
してる よう/名詞	9
できる し/助詞	32
変わる し/助詞	3
られてる ん/名詞	3
わかる ん/名詞	4
られる 原因/名詞	1
流行ってる から/助詞	1
困る よ/助詞	4
する ね/助詞	9
楽しめる こと/名詞	1
見れる し/助詞	3
言ってくる し/助詞	2
たかってくる し/助詞	1
来てる 人/名詞	8
住める し/助詞	1
取れる ん/名詞	3
売ってる ./記号	5
する とか/助詞	56
別れる みたい/名詞	1
感じる か/助詞	4
できる よう/名詞	54
育てる 教育/名詞	1
いってる よう/名詞	1
する のに/助詞	34
増えてる と/助詞	1
がる ん/名詞	1
住める もん/名詞	1
出てくる とも/助詞	1
しすぎる の/名詞	1
できる の/名詞	10
なる とも/助詞	1
なる やろ/助動詞	26
なってる ね/名詞	4
死んでる かも/助詞	2
してる やろ/助動詞	13
せる と/助詞	1
言ってる ねん/助詞	5
しまってる ん/名詞	1
行ってる とこ/名詞	4
きてる と/助詞	2
上がる よう/名詞	2
バレる やん/助動詞	3
話せる 範囲/名詞	1
考える し/助詞	3
ある ので/助詞	8
わかってる ん/名詞	2
よける でしょ/助動詞	1
ぶつかってる ん/名詞	1
つながる よ/助詞	1
伝えている ん/名詞	1
みる 運動/名詞	1
済んでる みたい/名詞	1
ひいている ん/名詞	1
ひいてる ん/名詞	2
かれてる な/助詞	1
ひいている と/助詞	1
思っている みたい/名詞	1
行ってる ので/助詞	1
くみ取る ./記号	1
ある かも/助詞	47
聞いてる ん/名詞	2
くる タイプ/名詞	1
かかっている 時/名詞	1
している けど/助詞	1
してる ので/助詞	5
せる よう/名詞	3
させる って/助詞	2
いてる の/助詞	1
行ける じゃ/助動詞	1
来る もん/名詞	3
すぎる の/名詞	1
売る でしょ/助動詞	1
引き換える って/助詞	1
入る 前/名詞	10
終わる でしょ/助動詞	1
忘れてる ./記号	4
聞いてくる でしょ/助動詞	1
似てる かも/助詞	8
とらえる 方/名詞	1
合わせる って/助詞	1
切っていける って/助詞	1
れる とき/名詞	4
行ってくれる か/助詞	2
来る って/助詞	6
しはる ん/名詞	2
れる ん/名詞	34
言ってる こと/名詞	7
