られや	動詞,接尾,*,*,一段,未然形・や挿入,られる,ラレヤ,ラレヤ
つったてや	動詞,自立,*,*,一段,未然形・や挿入,つったてる,ツッタテヤ,ツッタテヤ
めあわせや	動詞,自立,*,*,一段,未然形・や挿入,めあわせる,メアワセヤ,メアワセヤ
ながれでや	動詞,自立,*,*,一段,未然形・や挿入,ながれでる,ナガレデヤ,ナガレデヤ
引き伸ばせや	動詞,自立,*,*,一段,未然形・や挿入,引き伸ばせる,ヒキノバセヤ,ヒキノバセヤ
みちたりや	動詞,自立,*,*,一段,未然形・や挿入,みちたりる,ミチタリヤ,ミチタリヤ
ぬえや	動詞,自立,*,*,一段,未然形・や挿入,ぬえる,ヌエヤ,ヌエヤ
残れや	動詞,自立,*,*,一段,未然形・や挿入,残れる,ノコレヤ,ノコレヤ
やみほうけや	動詞,自立,*,*,一段,未然形・や挿入,やみほうける,ヤミホウケ,ヤミホーケヤ
駆け込めや	動詞,自立,*,*,一段,未然形・や挿入,駆け込める,カケコメヤ,カケコメヤ
冷めや	動詞,自立,*,*,一段,未然形・や挿入,冷める,サメヤ,サメヤ
むかえいれや	動詞,自立,*,*,一段,未然形・や挿入,むかえいれる,ムカエイレヤ,ムカエイレヤ
移れや	動詞,自立,*,*,一段,未然形・や挿入,移れる,ウツレヤ,ウツレヤ
吹掛けや	動詞,自立,*,*,一段,未然形・や挿入,吹掛ける,フキカケヤ,フキカケヤ
盛上げや	動詞,自立,*,*,一段,未然形・や挿入,盛上げる,モリアゲヤ,モリアゲヤ
落し入れや	動詞,自立,*,*,一段,未然形・や挿入,落し入れる,オトシイレヤ,オトシイレヤ
はせ着けや	動詞,自立,*,*,一段,未然形・や挿入,はせ着ける,ハセツケヤ,ハセツケヤ
しこめや	動詞,自立,*,*,一段,未然形・や挿入,しこめる,シコメヤ,シコメヤ
引けや	動詞,自立,*,*,一段,未然形・や挿入,引ける,ヒケヤ,ヒケヤ
張り合えや	動詞,自立,*,*,一段,未然形・や挿入,張り合える,ハリアエヤ,ハリアエヤ
ふさげや	動詞,自立,*,*,一段,未然形・や挿入,ふさげる,フサゲヤ,フサゲヤ
唄えや	動詞,自立,*,*,一段,未然形・や挿入,唄える,ウタエヤ,ウタエヤ
引換えや	動詞,自立,*,*,一段,未然形・や挿入,引換える,ヒキカエヤ,ヒキカエヤ
はじめや	動詞,非自立,*,*,一段,未然形・や挿入,はじめる,ハジメヤ,ハジメヤ
しゃがれや	動詞,自立,*,*,一段,未然形・や挿入,しゃがれる,シャガレヤ,シャガレヤ
垣間みや	動詞,自立,*,*,一段,未然形・や挿入,垣間みる,カイマミヤ,カイマミヤ
みすごせや	動詞,自立,*,*,一段,未然形・や挿入,みすごせる,ミスゴセヤ,ミスゴセヤ
垂れこめや	動詞,自立,*,*,一段,未然形・や挿入,垂れこめる,タレコメヤ,タレコメヤ
持上げや	動詞,自立,*,*,一段,未然形・や挿入,持上げる,モチアゲヤ,モチアゲヤ
