引き込み	動詞,自立,*,*,五段・マ行,命令k,引き込む,ヒキコミ,ヒキコミ
それ	動詞,自立,*,*,一段,命令k,それる,ソレ,ソレ
買い換え	動詞,自立,*,*,一段,命令k,買い換える,カイカエ,カイカエ
つくし	動詞,自立,*,*,五段・サ行,命令k,つくす,ツクシ,ツクシ
過ぎ	動詞,自立,*,*,一段,命令k,過ぎる,スギ,スギ
見つめ	動詞,自立,*,*,一段,命令k,見つめる,ミツメ,ミツメ
添い	動詞,自立,*,*,五段・ワ行促音便,命令k,添う,ソイ,ソイ
うけ	動詞,自立,*,*,一段,命令k,うける,ウケ,ウケ
始め	動詞,非自立,*,*,一段,命令k,始める,ハジメ,ハジメ
参り	動詞,非自立,*,*,五段・ラ行,命令k,参る,マイリ,マイリ
はけ	動詞,自立,*,*,一段,命令k,はける,ハケ,ハケ
もたせ	動詞,自立,*,*,一段,命令k,もたせる,モタセ,モタセ
聞き取れ	動詞,自立,*,*,一段,命令k,聞き取れる,キキトレ,キキトレ
はずし	動詞,自立,*,*,五段・サ行,命令k,はずす,ハズシ,ハズシ
力尽き	動詞,自立,*,*,一段,命令k,力尽きる,チカラツキ,チカラツキ
作り出し	動詞,自立,*,*,五段・サ行,命令k,作り出す,ツクリダシ,ツクリダシ
くみ	動詞,自立,*,*,五段・マ行,命令k,くむ,クミ,クミ
焼け	動詞,自立,*,*,一段,命令k,焼ける,ヤケ,ヤケ
舞い降り	動詞,自立,*,*,一段,命令k,舞い降りる,マイオリ,マイオリ
くり	動詞,自立,*,*,五段・ラ行,命令k,くる,クリ,クリ
伏し	動詞,自立,*,*,五段・サ行,命令k,伏す,フシ,フシ
こがし	動詞,自立,*,*,五段・サ行,命令k,こがす,コガシ,コガシ
焼き	動詞,自立,*,*,五段・カ行イ音便,命令k,焼く,ヤキ,ヤキ
かおり	動詞,自立,*,*,五段・ラ行,命令k,かおる,カオリ,カオリ
潜り	動詞,自立,*,*,五段・ラ行,命令k,潜る,モグリ,モグリ
優れ	動詞,自立,*,*,一段,命令k,優れる,スグレ,スグレ
にあい	動詞,自立,*,*,五段・ワ行促音便,命令k,にあう,ニアイ,ニアイ
つながり	動詞,自立,*,*,五段・ラ行,命令k,つながる,ツナガリ,ツナガリ
醸し	動詞,自立,*,*,五段・サ行,命令k,醸す,カモシ,カモシ
喋れ	動詞,自立,*,*,一段,命令k,喋れる,シャベレ,シャベレ
慰め	動詞,自立,*,*,一段,命令k,慰める,ナグサメ,ナグサメ
失し	動詞,自立,*,*,五段・サ行,命令k,失す,シッシ,シッシ
描き	動詞,自立,*,*,五段・カ行イ音便,命令k,描く,エガキ,エガキ
描き	動詞,自立,*,*,五段・カ行イ音便,命令k,描く,カキ,カキ
恵み	動詞,自立,*,*,五段・マ行,命令k,恵む,メグミ,メグミ
抜け出	動詞,自立,*,*,一段,命令k,抜け出る,ヌケデ,ヌケデ
ともない	動詞,自立,*,*,五段・ワ行促音便,命令k,ともなう,トモナイ,トモナイ
ねり	動詞,自立,*,*,五段・ラ行,命令k,ねる,ネリ,ネリ
につけ	動詞,自立,*,*,一段,命令k,につける,ニツケ,ニツケ
つがい	動詞,自立,*,*,五段・ワ行促音便,命令k,つがう,ツガイ,ツガイ
断り	動詞,自立,*,*,五段・ラ行,命令k,断る,コトワリ,コトワリ
いれ	動詞,自立,*,*,一段,命令k,いれる,イレ,イレ
