かっいかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,かっいい,カッイカッ,カッイカッ
かっい	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,かっいい,カッイ,カッイ
けっぶい	形容詞,自立,*,*,形容詞・アウオ段,基本形,けっぶい,ケッブイ,ケッブイ
けっぶかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,けっぶい,ケッブカッ,ケッブカッ
けっぶ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,けっぶい,ケッブ,ケッブ
あっかい	形容詞,自立,*,*,形容詞・アウオ段,基本形,あっかい,アッカイ,アッカイ
あっかかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,あっかい,アッカカッ,アッカカッ
あっか	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,あっかい,アッカ,アッカ
だっさい	形容詞,自立,*,*,形容詞・アウオ段,基本形,だっさい,ダッサイ,ダッサイ
だっさかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,だっさい,ダッサカッ,ダッサカッ
だっさ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,だっさい,ダッサ,ダッサ
かっらい	形容詞,自立,*,*,形容詞・アウオ段,基本形,かっらい,カッライ,カッライ
かっらかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,かっらい,カッラカッ,カッラカッ
かっら	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,かっらい,カッラ,カッラ
たっかい	形容詞,自立,*,*,形容詞・アウオ段,基本形,たっかい,タッカイ,タッカイ
たっかかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,たっかい,タッカカッ,タッカカッ
たっか	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,たっかい,タッカ,タッカ
とっおい	形容詞,自立,*,*,形容詞・アウオ段,基本形,とっおい,トッオイ,トッオイ
とっおかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,とっおい,トッオカッ,トッオカッ
とっお	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,とっおい,トッオ,トッオ
ぼっろい	形容詞,自立,*,*,形容詞・アウオ段,基本形,ぼっろい,ボッロイ,ボッロイ
ぼっろかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,ぼっろい,ボッロカッ,ボッロカッ
ぼっろ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,ぼっろい,ボッロ,ボッロ
うっぶい	形容詞,自立,*,*,形容詞・アウオ段,基本形,うっぶい,ウッブイ,ウッブイ
うっぶかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,うっぶい,ウッブカッ,ウッブカッ
うっぶ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,うっぶい,ウッブ,ウッブ
ゆっるい	形容詞,自立,*,*,形容詞・アウオ段,基本形,ゆっるい,ユッルイ,ユッルイ
ゆっるかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,ゆっるい,ユッルカッ,ユッルカッ
ゆっる	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,ゆっるい,ユッル,ユッル
ふっとい	形容詞,自立,*,*,形容詞・アウオ段,基本形,ふっとい,フットイ,フットイ
ふっとかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,ふっとい,フットカッ,フットカッ
ふっと	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,ふっとい,フット,フット
ぬっるい	形容詞,自立,*,*,形容詞・アウオ段,基本形,ぬっるい,ヌッルイ,ヌッルイ
ぬっるかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,ぬっるい,ヌッルカッ,ヌッルカッ
ぬっる	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,ぬっるい,ヌッル,ヌッル
