ぼっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,ぼる,ボッ,ボッ
蹲っ	動詞,自立,*,*,五段・ラ行,基本形・促音便,蹲る,ウズクマッ,ウズクマッ
繰下げっ	動詞,自立,*,*,一段,基本形・促音便,繰下げる,クリサゲッ,クリサゲッ
率いっ	動詞,自立,*,*,一段,基本形・促音便,率いる,ヒキイッ,ヒキイッ
労すっ	動詞,自立,*,*,サ変・−スル,基本形・促音便,労する,ロウスッ,ロースッ
持ちかえれっ	動詞,自立,*,*,一段,基本形・促音便,持ちかえれる,モチカエレッ,モチカエレッ
締切っ	動詞,自立,*,*,五段・ラ行,基本形・促音便,締切る,シメキッ,シメキッ
挙がっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,挙がる,アガッ,アガッ
突っぱっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,突っぱる,ツッパッ,ツッパッ
出歩けっ	動詞,自立,*,*,一段,基本形・促音便,出歩ける,デアッケッ,デアッケッ
せっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,せる,セッ,セッ
躙り寄っ	動詞,自立,*,*,五段・ラ行,基本形・促音便,躙り寄る,ニジリヨッ,ニジリヨッ
迎えっ	動詞,自立,*,*,一段,基本形・促音便,迎える,ムカエッ,ムカエッ
にげまわっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,にげまわる,ニゲマワッ,ニゲマワッ
押掛けっ	動詞,自立,*,*,一段,基本形・促音便,押掛ける,オシカケッ,オシカケッ
掻き集めっ	動詞,自立,*,*,一段,基本形・促音便,掻き集める,カキアツメッ,カキアツメッ
愁えっ	動詞,自立,*,*,一段,基本形・促音便,愁える,ウレエッ,ウレエッ
はりつめっ	動詞,自立,*,*,一段,基本形・促音便,はりつめる,ハリツメッ,ハリツメッ
追い立てっ	動詞,自立,*,*,一段,基本形・促音便,追い立てる,オイタテッ,オイタテッ
そりかえっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,そりかえる,ソリカエッ,ソリカエッ
演ずっ	動詞,自立,*,*,サ変・−ズル,基本形・促音便,演ずる,エンズッ,エンズッ
取り立てっ	動詞,自立,*,*,一段,基本形・促音便,取り立てる,トリタテッ,トリタテッ
縁どっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,縁どる,フチドッ,フチドッ
侍れっ	動詞,自立,*,*,一段,基本形・促音便,侍れる,ハベレッ,ハベレッ
飛び跳ねっ	動詞,自立,*,*,一段,基本形・促音便,飛び跳ねる,トビハネッ,トビハネッ
ひとかわむけっ	動詞,自立,*,*,一段,基本形・促音便,ひとかわむける,ヒトカワムケッ,ヒトカワムケッ
くりよせっ	動詞,自立,*,*,一段,基本形・促音便,くりよせる,クリヨセッ,クリヨセッ
掛け離れっ	動詞,自立,*,*,一段,基本形・促音便,掛け離れる,カケハナレッ,カケハナレッ
立替えっ	動詞,自立,*,*,一段,基本形・促音便,立替える,タテカエッ,タテカエッ
寝そべっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,寝そべる,ネソベッ,ネソベッ
ひいでっ	動詞,自立,*,*,一段,基本形・促音便,ひいでる,ヒイデッ,ヒーデッ
ほりつけっ	動詞,自立,*,*,一段,基本形・促音便,ほりつける,ホリツケッ,ホリツケッ
もうしかねっ	動詞,自立,*,*,一段,基本形・促音便,もうしかねる,モウシカネッ,モーシカネッ
張詰めっ	動詞,自立,*,*,一段,基本形・促音便,張詰める,ハリツメッ,ハリツメッ
降り懸っ	動詞,自立,*,*,五段・ラ行,基本形・促音便,降り懸る,フリカカッ,フリカカッ
植わっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,植わる,ウワッ,ウワッ
追いやれっ	動詞,自立,*,*,一段,基本形・促音便,追いやれる,オイヤレッ,オイヤレッ
すり付けっ	動詞,自立,*,*,一段,基本形・促音便,すり付ける,スリツケッ,スリツケッ
乗りつけっ	動詞,自立,*,*,一段,基本形・促音便,乗りつける,ノリツケッ,ノリツケッ
飛あがっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,飛あがる,トビアガッ,トビアガッ
いきおいづけっ	動詞,自立,*,*,一段,基本形・促音便,いきおいづける,イキオイヅケッ,イキオイズケッ
うつむけっ	動詞,自立,*,*,一段,基本形・促音便,うつむける,ウツムケッ,ウツムケッ
取れっ	動詞,自立,*,*,一段,基本形・促音便,取れる,トレッ,トレッ
たちあがれっ	動詞,自立,*,*,一段,基本形・促音便,たちあがれる,タチアガレッ,タチアガレッ
跡絶えっ	動詞,自立,*,*,一段,基本形・促音便,跡絶える,トダエッ,トダエッ
裏がえっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,裏がえる,ウラガエッ,ウラガエッ
あてこめっ	動詞,自立,*,*,一段,基本形・促音便,あてこめる,アテコメッ,アテコメッ
せき立てっ	動詞,自立,*,*,一段,基本形・促音便,せき立てる,セキタテッ,セキタテッ
くちっ	動詞,自立,*,*,一段,基本形・促音便,くちる,クチッ,クチッ
きがえっ	動詞,自立,*,*,一段,基本形・促音便,きがえる,キガエッ,キガエッ
じれっ	動詞,自立,*,*,一段,基本形・促音便,じれる,ジレッ,ジレッ
あそびまわれっ	動詞,自立,*,*,一段,基本形・促音便,あそびまわれる,アソビマワレッ,アソビマワレッ
書入れっ	動詞,自立,*,*,一段,基本形・促音便,書入れる,カキイレッ,カキイレッ
あてはまっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,あてはまる,アテハマッ,アテハマッ
ふえっ	動詞,自立,*,*,一段,基本形・促音便,ふえる,フエッ,フエッ
折れ曲がっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,折れ曲がる,オレマガッ,オレマガッ
かきおくっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,かきおくる,カキオクッ,カキオクッ
つきさせっ	動詞,自立,*,*,一段,基本形・促音便,つきさせる,ツキサセッ,ツキサセッ
薫ずっ	動詞,自立,*,*,サ変・−ズル,基本形・促音便,薫ずる,クンズッ,クンズッ
めしあげっ	動詞,自立,*,*,一段,基本形・促音便,めしあげる,メシアゲッ,メシアゲッ
掛けっ	動詞,自立,*,*,一段,基本形・促音便,掛ける,カケッ,カケッ
置忘れっ	動詞,自立,*,*,一段,基本形・促音便,置忘れる,オキワスレッ,オキワスレッ
筋ばっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,筋ばる,スジバッ,スジバッ
散らばっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,散らばる,チラバッ,チラバッ
与すっ	動詞,自立,*,*,サ変・−スル,基本形・促音便,与する,クミスッ,クミスッ
負かっ	動詞,自立,*,*,五段・ラ行,基本形・促音便,負かる,マカッ,マカッ
願えっ	動詞,自立,*,*,一段,基本形・促音便,願える,ネガエッ,ネガエッ
