めしあげん	動詞,自立,*,*,一段撥音便,基本形,めしあげる,メシアゲン,メシアゲン
掛けん	動詞,自立,*,*,一段撥音便,基本形,掛ける,カケン,カケン
置忘れん	動詞,自立,*,*,一段撥音便,基本形,置忘れる,オキワスレン,オキワスレン
筋ばん	動詞,自立,*,*,五段・ラ行撥音便,基本形,筋ばる,スジバン,スジバン
散らばん	動詞,自立,*,*,五段・ラ行撥音便,基本形,散らばる,チラバン,チラバン
与すん	動詞,自立,*,*,サ変・−スル撥音便,基本形,与する,クミスン,クミスン
負かん	動詞,自立,*,*,五段・ラ行撥音便,基本形,負かる,マカン,マカン
願えん	動詞,自立,*,*,一段撥音便,基本形,願える,ネガエン,ネガエン
重なん	動詞,自立,*,*,五段・ラ行撥音便,基本形,重なる,カサナン,カサナン
弑すん	動詞,自立,*,*,サ変・−スル撥音便,基本形,弑する,シイスン,シイスン
息張ん	動詞,自立,*,*,五段・ラ行撥音便,基本形,息張る,イキバン,イキバン
直ん	動詞,自立,*,*,五段・ラ行撥音便,基本形,直る,ナオン,ナオン
つんのめん	動詞,自立,*,*,五段・ラ行撥音便,基本形,つんのめる,ツンノメン,ツンノメン
おいしげん	動詞,自立,*,*,五段・ラ行撥音便,基本形,おいしげる,オイシゲン,オイシゲン
つぎあわせん	動詞,自立,*,*,一段撥音便,基本形,つぎあわせる,ツギアワセン,ツギアワセン
まちあわせん	動詞,自立,*,*,一段撥音便,基本形,まちあわせる,マチアワセン,マチアワセン
決めん	動詞,自立,*,*,一段撥音便,基本形,決める,キメン,キメン
貧すん	動詞,自立,*,*,サ変・−スル撥音便,基本形,貧する,ヒンスン,ヒンスン
まるまん	動詞,自立,*,*,五段・ラ行撥音便,基本形,まるまる,マルマン,マルマン
うまれかわん	動詞,自立,*,*,五段・ラ行撥音便,基本形,うまれかわる,ウマレカワン,ウマレカワン
さきでん	動詞,自立,*,*,一段撥音便,基本形,さきでる,サキデン,サキデン
突き合せん	動詞,自立,*,*,一段撥音便,基本形,突き合せる,ツキアワセン,ツキアワセン
しわめん	動詞,自立,*,*,一段撥音便,基本形,しわめる,シワメン,シワメン
出し切れん	動詞,自立,*,*,一段撥音便,基本形,出し切れる,ダシキレン,ダシキレン
